user_id,artistname,trackname,playlistname,artist_clean,track_clean,id,play_count,has_variant,valence,energy,danceability,acousticness,tempo,loudness,instrumentalness,speechiness,liveness,genres,popularity,year,mode,explicit
03570240a78153803c0fa4490bea3ee3,alt-J,Taro,Chillin,alt-j,taro,7gn0MfkV4ZuMkqbPlmhIlx,1.0,True,0.604,0.622,0.648,0.0959,142.97899999999996,-6.651,0.477,0.0578,0.126,"['indie rock', 'modern rock']",55,2017,0,0
0363d057e2b77e3165c39192a7a50055,Miguel,Do You...,Do You...,miguel,do you...,0XPlSuCVQ1nOhzTpFgnDSz,1.0,True,0.521,0.491,0.531,0.447,129.38,-5.47,0.0,0.042,0.0703,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",62,2019,0,0
0363d057e2b77e3165c39192a7a50055,Miguel,How Many Drinks?,Do You...,miguel,how many drinks?,0XPlSuCVQ1nOhzTpFgnDSz,1.0,True,0.521,0.491,0.531,0.447,129.38,-5.47,0.0,0.042,0.0703,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",62,2019,0,0
036904a67013d7f9fcdff0b806a9d77a,Seafret,Oceans,one of THOSE days.,seafret,oceans,2Ro9FLIVhPwIQopSr48oJT,1.0,True,0.193,0.58,0.5870000000000001,0.252,131.953,-7.867000000000001,0.00243,0.0329,0.105,"['folk-pop', 'indie anthem-folk', 'modern alternative rock', 'modern rock']",60,2016,1,0
03ff7717d8d067efdb31440c04b77a07,James Blunt,You're Beautiful,James Blunt ,james blunt,you're beautiful,3fl78noR9kt12JYKuTAP4a,1.0,True,0.634,0.701,0.633,0.253,151.892,-5.968999999999999,4.79e-05,0.0267,0.165,"['neo mellow', 'pop', 'pop rock']",57,2005,1,1
042055eb2f2bbed89bae2c91428c4532,Staind,Outside - Original,Outside,staind,outside - original,2bovXREneoVBGYnm162Uca,1.0,True,0.0505,0.448,0.544,0.115,126.185,-8.246,0.0209,0.0314,0.281,"['alternative metal', 'nu metal', 'post-grunge', 'rap rock', 'rock']",41,2006,1,1
04ad6f680077d351dd3ab49319a7fa1c,Mogwai,What Are They Doing In Heaven Today?,What Are They Doing In Heaven Today?,mogwai,what are they doing in heaven today?,0rSuZYxO2jIYCrnlja0AXQ,1.0,True,0.0443,0.439,0.249,0.0776,120.85,-11.086,0.665,0.0376,0.073,"['british post-rock', 'chamber psych', 'cosmic post-rock', 'post-rock']",33,1997,1,0
04f0a83755bf583b56cff283e51ba381,Nick Jonas,Jealous - Remix,Jealous - Remix,nick jonas,jealous - remix,77dwRzKegOkVtlHajKnDCb,1.0,True,0.274,0.743,0.644,0.00114,125.913,-4.0760000000000005,0.0,0.0331,0.0831,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'viral pop']",61,2017,0,0
0502510f80c369ce121d07a714e4abc5,Gerry & The Pacemakers,You'll Never Walk Alone - 2002 Remastered Version,💞,gerry & the pacemakers,you'll never walk alone - 2002 remastered version,6catF1lDhNTjjGa2GxRQNN,1.0,True,0.285,0.265,0.484,0.394,113.564,-11.101,0.0,0.0322,0.149,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']",56,2008,1,0
05054b05d6d4088fdd147f3d0ec39a95,Scorpions,No One Like You,Starred,scorpions,no one like you,1QLyDdhB9gmxbGv0K1kFyT,1.0,True,0.6709999999999999,0.833,0.584,0.000265,124.018,-5.824,0.00595,0.0358,0.32,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock']",60,2017,1,0
05054b05d6d4088fdd147f3d0ec39a95,Scorpions,Still Loving You,Starred,scorpions,still loving you,1QLyDdhB9gmxbGv0K1kFyT,1.0,True,0.6709999999999999,0.833,0.584,0.000265,124.018,-5.824,0.00595,0.0358,0.32,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock']",60,2017,1,0
053b0444d3179b3fb54ca36485ce320e,Cheap Trick,Downed,Wake Up,cheap trick,downed,7KM52fyhuSxeIN1y2Sn6QL,1.0,True,0.342,0.67,0.632,0.5479999999999999,97.098,-8.877,2.38e-06,0.027,0.0521,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'dance rock', 'glam metal', 'glam rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'power pop', 'rock', 'soft rock']",49,2004,1,0
053b0444d3179b3fb54ca36485ce320e,Linkin Park,Hands Held High,What If Punk Never Happened,linkin park,hands held high,650OeHTLxZAQmb4aEbGmaA,1.0,True,0.452,0.84,0.6970000000000001,0.106,128.034,-4.602,0.0,0.054,0.748,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",64,2017,0,0
053b0444d3179b3fb54ca36485ce320e,Rise Against,Hero Of War,What If Punk Never Happened,rise against,hero of war,6z38xRV0gxWMyjtuz5T2Ea,1.0,True,0.383,0.966,0.273,0.000556,142.496,-4.092,0.000168,0.0934,0.0524,"['chicago hardcore', 'chicago punk', 'hardcore punk', 'pop punk', 'punk']",49,2011,0,0
05449c83385ca46a34e440e3881241a3,Clap Your Hands Say Yeah,Same Mistake,motivaciones,clap your hands say yeah,same mistake,3ocIbyHRuYJmYtjethCjE1,1.0,True,0.397,0.971,0.456,0.00743,141.567,-5.159,0.000205,0.0678,0.128,"['alternative dance', 'alternative rock', 'brooklyn indie', 'dance-punk', 'freak folk', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'philly indie', 'stomp and holler']",55,2005,1,0
054fbe0f9234043334dccb83603a5832,Estopa,Me Falta El Aliento,Español Expose,estopa,me falta el aliento,1VB4sadHjFcFklHcZuoROi,1.0,True,0.843,0.721,0.499,0.216,140.4,-9.615,9.74e-06,0.0564,0.295,"['pop flamenco', 'rumba', 'spanish pop']",64,1999,0,0
054fbe0f9234043334dccb83603a5832,Fito y Fitipaldis,Me acorde de ti,Español Expose,fito y fitipaldis,me acorde de ti,0eVborSuxUeSg0meWYd9dZ,1.0,True,0.324,0.431,0.718,0.132,139.618,-8.736,0.000165,0.0314,0.0686,"['cantautor', 'latin rock', 'rock en espanol', 'spanish pop']",67,2003,1,0
0595ccab2fe2c8e3b5095099afcf3585,Daddy Yankee,Lovumba,Favoritas de la radio,daddy yankee,lovumba,0KkIkfsLEJbrcIhYsCL7L5,1.0,True,0.608,0.8079999999999999,0.7859999999999999,0.0846,105.029,-3.702,0.000289,0.0881,0.0822,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",72,2020,1,0
0595ccab2fe2c8e3b5095099afcf3585,Don Omar,Dutty Love,Favoritas de la radio,don omar,dutty love,4sCSUQnWQ6HJsOMjfPicdn,1.0,True,0.8959999999999999,0.8959999999999999,0.701,0.0866,130.067,-6.459,0.0,0.0814,0.0572,"['latin', 'latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'tropical']",60,2011,1,0
0595ccab2fe2c8e3b5095099afcf3585,Romeo Santos,Propuesta Indecente,Favoritas de la radio,romeo santos,propuesta indecente,2j5dy9SzXdQ71Y2jgtiFAJ,1.0,True,0.499,0.879,0.574,0.753,125.284,-2.336,3.54e-06,0.0387,0.952,"['bachata', 'latin', 'latin pop', 'salsa choke', 'tropical']",59,2013,1,0
05c61c1ecae17d969e78d1b26cff83c5,Miguel,Adorn,Starred,miguel,adorn,0XPlSuCVQ1nOhzTpFgnDSz,1.0,True,0.521,0.491,0.531,0.447,129.38,-5.47,0.0,0.042,0.0703,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",62,2019,0,0
05dbe0ad578fab1fcfff3d5b1a2547f5,Enigma,Return To Innocence,Return To Innocence,enigma,return to innocence,35kyf1sus3TW7ot6wqqjun,1.0,True,0.145,0.208,0.254,0.922,129.63,-23.672,0.613,0.0429,0.634,"['corrido', 'deep regional mexican', 'norteno', 'nuevo regional mexicano', 'regional mexican']",41,1996,1,0
05f846bf92c997496983d8ba050743d1,Akon,Right Now (Na Na Na),Right Now (Na Na Na),akon,right now (na na na),6iEcSU3TGinx759dss627V,1.0,True,0.459,0.392,0.828,0.0663,104.919,-8.099,0.0,0.0742,0.162,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",49,2014,1,1
05f846bf92c997496983d8ba050743d1,David Guetta,Sexy Bitch (feat. Akon) - Featuring Akon;explicit,Sexy Bitch (feat. Akon),david guetta,sexy bitch (feat. akon) - featuring akon;explicit,5wh4F70PB147MGSf03EUwi,1.0,True,0.638,0.879,0.725,0.0119,128.03,-3.3360000000000003,3.46e-05,0.0551,0.3670000000000001,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']",42,2011,0,0
05f846bf92c997496983d8ba050743d1,Pitbull,Shut It Down,Shut It Down,pitbull,shut it down,6e0CvGZf7CouOpYF8toXHC,1.0,True,0.687,0.726,0.7440000000000001,0.0399,121.985,-4.675,0.0,0.0463,0.374,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",63,2019,1,0
05f99909e5243d466ed389fa7ed65fc7,Amy Winehouse,Back To Black,Starred,amy winehouse,back to black,01hJnhpAmjzg85Etnz2ECH,1.0,True,0.203,0.249,0.342,0.87,94.746,-11.812,5.09e-05,0.0277,0.152,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",56,2011,1,0
05f99909e5243d466ed389fa7ed65fc7,Queen,Another One Bites The Dust - Remastered 2011,Starred,queen,another one bites the dust - remastered 2011,1PRsCgYtkgFaKgFMlry3Gr,1.0,True,0.123,0.408,0.522,0.555,119.446,-7.472,0.0,0.0294,0.095,"['classic rock', 'glam rock', 'rock']",43,2011,0,0
062574e2000b58ec49b82b32b4bd41d6,Brand Nubian,Don't Let It Go To Your Head,Starred,brand nubian,don't let it go to your head,383kL0qjp5qFa09J2ekjr2,1.0,True,0.865,0.669,0.826,0.208,89.12700000000002,-8.646,0.0,0.311,0.1,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'turntablism']",37,1994,0,1
062574e2000b58ec49b82b32b4bd41d6,Kanye West,H•A•M,Starred,kanye west,h•a•m,6xRWoYwfwIKnT8bQGzKbxR,1.0,True,0.267,0.637,0.6559999999999999,0.34,105.037,-3.867,0.0,0.0256,0.187,"['chicago rap', 'rap']",62,2019,1,0
065dea085016d679f289f68b67d414e3,Charles Bradley,The World (Is Going Up In Flames),Starred,charles bradley,the world (is going up in flames),2qcPsPqgTpl1KYgVptu3Oc,1.0,True,0.387,0.417,0.479,0.726,140.658,-7.263,0.0,0.0325,0.0831,"['funk', 'soul']",54,2013,0,0
0695c185d14279b04ff294e0a4c66093,Pusha T,New God Flow,tumblr playlist,pusha t,new god flow,650OeHTLxZAQmb4aEbGmaA,1.0,True,0.452,0.84,0.6970000000000001,0.106,128.034,-4.602,0.0,0.054,0.748,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",64,2017,0,0
0695c185d14279b04ff294e0a4c66093,The Game,Pray,tumblr playlist,the game,pray,3J1dakO0u9ltBZVHjFUFdV,1.0,True,0.265,0.54,0.75,0.175,130.019,-7.149,1.69e-06,0.0874,0.5589999999999999,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",45,2008,1,1
07066f9e977776450a9deac81b8c0b8d,Chayanne,El Hombre Que Fui,melisa,chayanne,el hombre que fui,6sXmREN5oJXB0rZqSjMNXV,1.0,True,0.825,0.883,0.767,0.0853,133.766,-4.984,0.0609,0.0909,0.0705,"['latin', 'latin pop', 'puerto rican pop', 'tropical']",43,2002,0,0
07066f9e977776450a9deac81b8c0b8d,Chayanne,Torero,melisa,chayanne,torero,6sXmREN5oJXB0rZqSjMNXV,1.0,True,0.825,0.883,0.767,0.0853,133.766,-4.984,0.0609,0.0909,0.0705,"['latin', 'latin pop', 'puerto rican pop', 'tropical']",43,2002,0,0
07b223555b9dd5fdbe880fa3a243526b,Diana Ross,I'm Still Waiting,Starred,diana ross,i'm still waiting,5cXMX6e72TDhvtdSQTqGJp,1.0,True,0.106,0.157,0.365,0.792,139.916,-17.722,0.000113,0.0288,0.0954,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",24,1988,1,0
09aa2149391edb93a2b7a084c863b3f7,Alfredo Gutierrez Y Su Conjunto,Dina Luz,"Various Artists – La Mejor Música de Diciembre, Vol. 3",alfredo gutierrez y su conjunto,dina luz,6fsgDNypphP5ZHi0qgcmxa,1.0,True,0.903,0.604,0.5920000000000001,0.276,79.536,-4.635,0.0,0.04,0.23,"['cumbia', 'porro']",33,1982,0,0
09aa2149391edb93a2b7a084c863b3f7,Los Warahuaco,El Pescador de Barú,"Various Artists – La Mejor Música de Diciembre, Vol. 3",los warahuaco,el pescador de barú,20BWoeskjO1hOvct1Zsbvd,1.0,True,0.962,0.544,0.7070000000000001,0.503,97.86,-8.357000000000001,1.31e-06,0.0531,0.0893,['cumbia'],29,1982,1,0
09aa2149391edb93a2b7a084c863b3f7,Rodolfo Aicardi,Cantares de Navidad,"Various Artists – La Mejor Música de Diciembre, Vol. 3",rodolfo aicardi,cantares de navidad,1FXxdXAVuwjulR7j3tAXom,1.0,True,0.875,0.5920000000000001,0.69,0.535,100.483,-8.552999999999999,0.0,0.0677,0.107,"['classic colombian pop', 'cumbia', 'musica popular colombiana']",21,1969,1,0
09aa2149391edb93a2b7a084c863b3f7,Xuxa,Ilariê,Xuxa — Ilariê,xuxa,ilariê,4P1mfEe5CVBz5htKz8okjo,1.0,True,0.794,0.8590000000000001,0.721,0.3,143.667,-14.454,0.00111,0.172,0.0244,"['axe', 'musica infantil', 'musica para criancas']",50,1990,1,0
09f7bc6f7c15931d70a52b5099665b89,Mägo de Oz,Vodka and roll - Voz Kutxi Romero,Kutxi Romero – Aquí huele a romero,mägo de oz,vodka and roll - voz kutxi romero,1NURhO7dVP9msnwuY75tvd,1.0,True,0.375,0.914,0.234,4.92e-05,160.236,-4.404,0.000115,0.102,0.0499,"['celtic metal', 'medieval rock', 'rock en espanol', 'spanish folk metal', 'spanish metal']",50,1998,0,0
0a18080fb8226d799259a6291d3672cc,Alejandro Sanz,Lola soledad - con Joaquin Sabina,mimadresellamalola,alejandro sanz,lola soledad - con joaquin sabina,1uwPEGzopXl9KawQR1JGXq,1.0,True,0.546,0.908,0.7070000000000001,0.134,104.888,-2.903,0.0,0.0582,0.111,"['cantautor', 'latin', 'latin arena pop', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish pop']",66,2016,1,0
0a18080fb8226d799259a6291d3672cc,Café Quijano,La Lola,mimadresellamalola,café quijano,la lola,0VnAETWOc4BCr4YbzfI7zH,1.0,True,0.867,0.79,0.725,0.0646,151.985,-4.393,0.00883,0.102,0.121,"['cantautor', 'latin pop', 'rumba', 'spanish pop']",47,1999,0,0
0a18080fb8226d799259a6291d3672cc,Chayanne,Lola - Live Version,mimadresellamalola,chayanne,lola - live version,6sXmREN5oJXB0rZqSjMNXV,1.0,True,0.825,0.883,0.767,0.0853,133.766,-4.984,0.0609,0.0909,0.0705,"['latin', 'latin pop', 'puerto rican pop', 'tropical']",43,2002,0,0
0a18080fb8226d799259a6291d3672cc,The Kinks,Lola - Mono Single Version,mimadresellamalola,the kinks,lola - mono single version,4qSk2aeaE2dh5ZOP0JdaV3,1.0,True,0.467,0.6829999999999999,0.513,0.268,107.865,-7.996,0.0,0.0246,0.173,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'roots rock']",40,2008,0,0
0a248d6f5ab79218c3a43559a9583a62,Charli XCX,Break The Rules,Starred,charli xcx,break the rules,4c1WgUnHXq2LEncGHKgj1I,1.0,True,0.541,0.74,0.735,0.0967,141.94799999999995,-3.837,0.0,0.0519,0.101,"['k-pop', 'k-pop boy group']",68,2019,0,0
0a248d6f5ab79218c3a43559a9583a62,Kelly Clarkson,Heartbeat Song,Starred,kelly clarkson,heartbeat song,30bC3YZlG6JggfU5A6xoaI,1.0,True,0.238,0.226,0.466,0.91,107.07,-8.913,5.89e-06,0.0287,0.956,"['dance pop', 'neo mellow', 'pop', 'pop dance', 'pop rock', 'post-teen pop', 'talent show']",37,2004,1,0
0a6125c9fb863e013da46d3e45cb9b04,The Real Group,Julbocken,Julbocken,the real group,julbocken,4FYp8p4rFC8EDVVSraXcb6,1.0,True,0.118,0.142,0.329,0.86,82.105,-13.946,0.000221,0.0299,0.792,"['a cappella', 'swedish jazz']",41,2003,1,0
0ab9841a699219aa6230115ba2284c19,Eric Clapton,32-20 Blues,Starred,eric clapton,32-20 blues,40ecCJ3Bd2QgJhZJnGqI9Q,1.0,True,0.742,0.7,0.59,0.1369999999999999,112.14,-8.448,0.0103,0.0346,0.0926,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']",47,2004,1,0
